Galaxy_name,Min_A_flux_180,detection
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722982815694957.fits,0.5711477266837003,False
587722982822904047.fits,0.08103310082603023,False
587722982827884615.fits,0.1576437151930777,False
587722982834766290.fits,0.07430724355858047,False
587722983360036986.fits,0.10227890770214623,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722982815694957.fits,0.5711477266837003,False
587722982822904047.fits,0.08103310082603023,False
587722982827884615.fits,0.1576437151930777,False
587722982834766290.fits,0.07430724355858047,False
587722983360036986.fits,0.10227890770214623,False
