Galaxy_name,Min_A_flux_180,detection
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
587722981748768939.fits,0.11544854752271023,False
587722982281576630.fits,0.13857278370979012,False
587722982282690733.fits,0.11608054883536108,False
587722982284984491.fits,0.09361197888613593,False
587722982290686147.fits,0.067364448845964,False
