Galaxy_name,A_flux_180,A_binary_180,A_flux_90,A_binary_90,Min_A_flux_180,Min_A_binary_180
587722981748768939.fits,0.23261520410111233,0.2662192393736018,0.18873590941048837,0.21252796420581654,0.11544854752271023, 0.203579418344519
587722982281576630.fits,0.202132148656267,0.20912547528517111,0.6220904914136793,0.6190114068441065,0.13857278370979012, 0.1269961977186312
587722982282690733.fits,0.2239215548776925,0.08682926829268292,0.20351086334046264,0.11024390243902439,0.11608054883536108, 0.09463414634146342
587722982284984491.fits,0.18915184226264545,0.18147304479878512,0.19241698767119722,0.15261958997722094,0.09361197888613593, 0.11465451784358391
587722982290686147.fits,0.2011847759919319,0.2254335260115607,0.3029143914545912,0.3352601156069364,0.067364448845964, 0.1531791907514451
587722982815694957.fits,0.6666114609579749,0.6498388829215896,0.6244347209351426,0.575187969924812,0.5711477266837003, 0.5284640171858217
587722982822904047.fits,0.11808412215796806,0.116751269035533,0.286988644016525,0.34822335025380713,0.08103310082603023, 0.10253807106598985
587722982827884615.fits,0.16461660606618492,0.17178612059158135,0.3639509596354766,0.4732650739476678,0.1576437151930777, 0.1626848691695108
587722982834766290.fits,0.19522767784799872,0.13034623217922606,0.1622670555825636,0.1395112016293279,0.07430724355858047, 0.07942973523421588
587722983360036986.fits,0.12782024540243966,0.12231030577576443,0.24390528159123095,0.2768969422423556,0.10227890770214623, 0.1245753114382786
587722983362199802.fits,0.21900290559285582,0.22699386503067484,0.5357092437250686,0.5276073619631901,0.08718420145443799, 0.14519427402862986
587722983895204043.fits,0.28735999999999995,0.3925233644859813,0.5709252173913044,0.6074766355140186,0.23141565217391302, 0.29283489096573206
587722983896318174.fits,0.22475085436603146,0.16155419222903886,0.17588203194307686,0.1554192229038855,0.057456687224293576, 0.07975460122699386
587722984426504308.fits,0.16455678847595195,0.19440914866581957,0.19420552803319746,0.21473951715374842,0.07945633694678536, 0.11308767471410419
587722984429387944.fits,0.49431722277928264,0.44793638773191974,0.5447683505302313,0.466868610374858,0.48854001392296387, 0.4615675880348353
587722984429387955.fits,0.12837760760690772,0.0971682398667407,0.3346163611809253,0.195446973903387,0.09950580122390555, 0.084952803997779
587722984436334703.fits,0.2602666148068918,0.21015397419891801,0.27088397764473277,0.17894298793175198,0.16268534853318642, 0.08031627132750728
587722984438366382.fits,0.11803355442840423,0.10317460317460317,0.5186827936012485,0.6031746031746031,0.0932376121732345, 0.12698412698412698
587724197745983628.fits,0.22742904167416286,0.2423608204269569,0.27063888102208566,0.25533696107157805,0.15811356258871673, 0.14776056927584763
587724197747556431.fits,0.12038570838697142,0.19094766619519093,0.5969007310971315,0.5997171145685997,0.12038570838697142, 0.19094766619519093
587724198283837539.fits,0.19017426487242065,0.15768854064642507,0.1830913620750426,0.18266405484818804,0.1520431862743127, 0.16062683643486778
587724198819528759.fits,0.7706402210442025,0.7639639639639639,0.7505764330658953,0.7360360360360361,0.7304342993844396, 0.7315315315315315
587724199885013129.fits,0.08233581277899163,0.07465437788018434,0.7649811692456574,0.7757296466973886,0.08233581277899164, 0.07465437788018434
587724199894057120.fits,0.1325507146444948,0.11786600496277916,0.15874801276528416,0.1705955334987593,0.08446740727792545, 0.08064516129032258
587724232100937914.fits,0.17916262996095406,0.18471337579617833,0.15064146923506,0.18152866242038215,0.06265806061978636, 0.11677282377919321
587724232102641838.fits,0.2999875045370431,0.2524698133918771,0.6076591237705357,0.5867178924259056,0.15209120497914447, 0.20417124039517015
587724232103952576.fits,0.17620357540221562,0.14986853637160386,0.17315581463607754,0.15775635407537247,0.06567190667640493, 0.058720420683610865
587724232105263263.fits,0.14168518134118085,0.15384615384615385,0.52973554390436,0.48151848151848153,0.10035268096128654, 0.1028971028971029
587724232110375026.fits,0.34019593248469376,0.33877551020408164,0.479046373221927,0.536734693877551,0.11169038486511824, 0.14285714285714285
587724232110571633.fits,0.2359496859408051,0.17222222222222222,0.20791526053188228,0.21666666666666667,0.08563401204566373, 0.1111111111111111
587724232638201976.fits,0.16042150383997145,0.14774494556765164,0.5432922545692683,0.5147744945567652,0.07527772816574389, 0.11353032659409021
587724233177432150.fits,0.18765511760655537,0.22485207100591717,0.348897818262571,0.42011834319526625,0.09691070672873468, 0.15976331360946747
587724233181036695.fits,0.2322416940806129,0.19248826291079812,0.3191533068886401,0.29264475743348983,0.06682637641156507, 0.07981220657276995
587724233712730291.fits,0.14094336563182944,0.110913140311804,0.3744476973304733,0.3870824053452116,0.11465065267916712, 0.10111358574610245
587724233714171917.fits,0.8230735990557938,0.8317880794701987,0.8187590216762293,0.8209271523178808,0.8230735990557938, 0.8317880794701987
587724233715089659.fits,0.3475008037630594,0.3260340632603406,0.6602037358327709,0.6240875912408759,0.11095985239724142, 0.1678832116788321
587724240151052371.fits,0.4208130843061268,0.3391304347826087,0.49676064982698764,0.4405797101449275,0.2557885779178613, 0.23478260869565218
587724242299781258.fits,0.18432189624850173,0.06970509383378017,0.19380313875726718,0.19436997319034852,0.09718945682248435, 0.1447721179624665
587724242308235423.fits,0.31527419320435973,0.25901639344262295,0.40812767954269125,0.3770491803278688,0.12331762045944158, 0.12131147540983607
587724648180875366.fits,0.1312981444697447,0.12437324202030084,0.2550243851234598,0.24385471444294973,0.12106096819167891, 0.12486241898006605
587724648719188275.fits,0.21153258322295163,0.15289256198347106,0.4843015385511128,0.518595041322314,0.05534126140813088, 0.0743801652892562
587724649256714421.fits,0.20357489716636198,0.21428571428571427,0.3024219464122486,0.3148496240601504,0.07673960237659964, 0.16165413533834586
587724649256779959.fits,0.3868722793415219,0.3297758804695838,0.34431973140626065,0.3073639274279616,0.26638822583450333, 0.2870864461045891
587724649798566084.fits,0.22374564851107914,0.21606118546845124,0.679314935529896,0.7065009560229446,0.07683195694567467, 0.1338432122370937
587724649799942282.fits,0.10829187660372998,0.07032844683614771,0.1806740459299263,0.1595843384672481,0.06053178595383474, 0.05511226572647986
587724650339696757.fits,0.18497179349892526,0.18418688230008984,0.1715804952239061,0.15992812219227315,0.08414616166554151, 0.1302785265049416
587725040089235662.fits,0.2927029700363685,0.31260229132569556,0.3533466973060187,0.28477905073649756,0.22780934901406227, 0.22422258592471359
587725040091070730.fits,0.11184003816448565,0.144395826321104,0.27965191357060015,0.28306967351060247,0.10395216279127152, 0.13901043419724
587725040093298701.fits,0.11718556675369099,0.12083473577919893,0.14394480716771776,0.11359811511275665,0.08597176078518078, 0.09525412319084484
587725040093626503.fits,0.1579187514983721,0.14157303370786517,0.23273295335906025,0.23707865168539327,0.0950257913338025, 0.10786516853932585
587725041163043005.fits,0.12899319431325534,0.13440111420612813,0.13593381841583543,0.16434540389972144,0.10382737705995718, 0.14484679665738162
587725041170645081.fits,0.13856551684637083,0.13088616981831666,0.21658815050283758,0.21950315164998146,0.1153056402766442, 0.11160548757879125
587725041701290146.fits,0.24641170601928833,0.200836820083682,0.3628200864649152,0.3305439330543933,0.09197871632856669, 0.11715481171548117
587725041705877616.fits,0.13578228675834214,0.09787234042553192,0.14093983395839346,0.13872340425531915,0.08950540116036798, 0.09617021276595744
587725041708892223.fits,0.24854819379362492,0.2688372093023256,0.20502744158055272,0.20837209302325582,0.12151965146363669, 0.1925581395348837
587725074458476803.fits,0.31455813181591874,0.23473142016188372,0.44464968138386035,0.3958793230316409,0.1582418481782159, 0.09050772626931568
587725468524413060.fits,0.17655414828371016,0.12290502793296089,0.1534525395697999,0.13966480446927373,0.11107539647565673, 0.17318435754189945
587725469052371011.fits,0.4426548940996491,0.38371040723981903,0.38905602959407054,0.32805429864253394,0.2861320655184238, 0.22805429864253393
587725469053288552.fits,0.22113150895901953,0.17597292724196278,0.2417910705311134,0.20558375634517767,0.11870943528087127, 0.12690355329949238
587725469062398203.fits,0.2545662802067328,0.1907514450867052,0.1939991618941193,0.15895953757225434,0.07512222377427015, 0.08670520231213873
587725469597302975.fits,0.27059862293801523,0.1882510013351135,0.6949175206092353,0.6488651535380507,0.08911849355192, 0.10013351134846461
587725469599596672.fits,0.16405479452054794,0.13170731707317074,0.1777149203998519,0.2,0.10141132913735654, 0.16097560975609757
587725470133649653.fits,0.13550826981662834,0.15092290988056462,0.3978616366883382,0.4571118349619978,0.09494473171244151, 0.10532030401737243
587725470135222371.fits,0.18503434413457268,0.16695234830305108,0.16851062973788902,0.1480973603016798,0.10914920317584603, 0.08124785738772712
587725470673338467.fits,0.33089622770656174,0.24774774774774774,0.41801326243969744,0.32957957957957956,0.3095711884175423, 0.23573573573573572
587725471204835532.fits,0.22390312668698079,0.12638580931263857,0.24503595907496525,0.1951219512195122,0.10492988556033986, 0.10199556541019955
587725471206080731.fits,0.18462350863875646,0.14754098360655737,0.20387300120464039,0.1721311475409836,0.10241093087344676, 0.13934426229508196
587725473344979188.fits,0.17709455879303854,0.203125,0.16651265655916672,0.20703125,0.09636595873211712, 0.15364583333333334
587725474417279139.fits,0.17186758057956383,0.11769834350479512,0.175024327714004,0.15736704446381866,0.13563259509101863, 0.11159546643417612
