Galaxy_name,x,y,flux
587727226232963249.fits,128,129,194.666666667
587727226763739257.fits,128,128,124.444444444
587727226764394571.fits,128,129,125.111111111
587727226765967493.fits,128,129,188.222222222
587727227300151488.fits,128,128,162.888888889
587727229447831665.fits,128,128,133.888888889
587727229987127308.fits,128,129,177.333333333
587727867255390382.fits,114,109,182.0
,156,113,200.777777778
,128,129,125.444444444
587727867256308040.fits,128,129,146.888888889
,97,146,166.222222222
,115,160,78.2222222222
,94,179,117.333333333
587727874233139385.fits,129,129,142.666666667
587727874770403488.fits,129,128,150.222222222
587727875842506764.fits,128,129,150.222222222
587727875842572442.fits,129,128,171.888888889
587727942422429769.fits,129,128,181.666666667
587727942952550679.fits,105,102,86.2222222222
,128,128,146.555555556
587727944028586260.fits,127,129,168.333333333
587728307494453470.fits,130,127,149.0
587728307495698545.fits,127,128,207.111111111
587728308030603421.fits,128,128,170.222222222
587728309104214057.fits,128,129,176.777777778
587728309105262695.fits,129,129,133.888888889
587728309634072728.fits,128,129,118.888888889
587728309635252270.fits,95,117,199.333333333
,129,128,188.111111111
587728309639839870.fits,129,128,122.333333333
587728309642199231.fits,128,129,149.0
587728310177431695.fits,129,129,129.333333333
587728665578766438.fits,136,95,75.3333333333
,122,140,200.444444444
587728666115506288.fits,175,76,217.777777778
,176,77,217.777777778
,185,125,126.666666667
,128,128,169.888888889
,154,139,87.8888888889
587728666654081277.fits,90,95,118.555555556
,128,129,183.111111111
587728668271509651.fits,129,126,163.777777778
587728668803465549.fits,143,92,49.1111111111
,97,119,43.2222222222
,128,129,192.666666667
,98,157,90.0
,126,172,51.7777777778
587728676855611465.fits,128,128,158.333333333
587728676860002415.fits,128,128,131.0
,125,162,73.0
587728879258960084.fits,129,129,154.222222222
,151,143,109.666666667
587728879267873012.fits,128,128,184.888888889
587728879271084157.fits,129,128,121.888888889
587728879804874941.fits,128,128,143.888888889
587728880334405838.fits,129,129,185.0
,127,161,109.0
587728880337551627.fits,129,129,167.666666667
587728880879141002.fits,128,129,198.555555556
587728881411162313.fits,128,128,117.222222222
587728906102309121.fits,139,98,121.666666667
,120,104,157.222222222
,128,128,122.888888889
587728906635837540.fits,128,129,165.444444444
,70,144,64.5555555556
,94,157,226.777777778
587728917375090814.fits,129,128,160.888888889
587728918985375911.fits,115,101,188.555555556
,129,128,109.0
587728930271985703.fits,128,129,167.666666667
587728930798174502.fits,128,128,187.222222222
587728930806497451.fits,128,129,166.333333333
587728931344482470.fits,128,129,154.333333333
587728931874013421.fits,128,129,178.666666667
587728931881812188.fits,137,103,71.1111111111
,128,128,174.888888889
587728947975946399.fits,180,105,89.5555555556
,129,128,189.888888889
,200,166,122.222222222
,81,174,147.333333333
,145,177,87.7777777778
587728948512882891.fits,129,128,153.888888889
587728949049557247.fits,128,128,191.0
587728949049950366.fits,128,129,156.0
587728950120939653.fits,129,129,151.666666667
587728950125723838.fits,129,128,162.333333333
,140,156,98.8888888889
587728950125920557.fits,129,128,98.1111111111
587729153595474049.fits,128,128,159.444444444
587729155207004307.fits,128,128,153.111111111
587729157893456017.fits,129,128,142.444444444
587729157893521520.fits,129,129,137.333333333
587729157895815314.fits,102,122,96.6666666667
,129,129,180.222222222
587729158434914466.fits,129,128,171.888888889
587729158440681740.fits,129,128,159.666666667
587729158963331090.fits,129,129,209.666666667
587729158967328888.fits,189,114,60.6666666667
,98,117,55.7777777778
,205,125,70.4444444444
,128,128,169.333333333
,75,144,72.6666666667
,119,154,77.0
587729158975717488.fits,159,124,58.7777777778
,129,128,181.111111111
587729158975848608.fits,129,129,134.222222222
587729158982860929.fits,129,128,167.333333333
587729159501447315.fits,128,107,81.0
,129,129,112.333333333
,132,155,55.4444444444
587729159512129673.fits,129,129,130.444444444
587729159512326252.fits,129,129,168.777777778
587729159517634841.fits,129,129,170.555555556
,100,137,162.0
587729159517700289.fits,129,128,191.222222222
,136,165,139.888888889
587729159518224638.fits,129,128,157.666666667
587729159519207705.fits,129,128,175.111111111
587729159520256301.fits,129,129,133.444444444
587729160048083184.fits,129,129,149.0
587729227149869273.fits,129,128,174.888888889
587729227152097459.fits,128,128,132.888888889
587729227152621756.fits,128,128,196.777777778
587729227688050881.fits,129,129,160.0
587729228223217760.fits,86,61,212.555555556
,54,85,94.8888888889
,97,93,60.1111111111
,129,128,154.555555556
,148,143,226.555555556
587729228226101395.fits,127,107,73.0
,128,128,156.111111111
587729228226822398.fits,129,128,155.777777778
587729228227871077.fits,128,127,101.666666667
587729228763496669.fits,128,127,147.555555556
587729233051255052.fits,133,109,103.666666667
,128,128,195.444444444
,134,162,198.222222222
587729385537667170.fits,129,129,149.0
,130,152,142.444444444
,158,161,96.5555555556
587729386069688509.fits,128,128,187.666666667
587729386076176389.fits,81,67,59.8888888889
,162,73,247.222222222
,97,75,59.3333333333
,109,101,156.222222222
,128,128,194.222222222
587729386079125709.fits,128,127,95.3333333333
587729386082533510.fits,129,129,170.333333333
587729386083057810.fits,128,128,190.333333333
,169,133,136.0
587729386615799950.fits,128,129,176.666666667
587729386620518616.fits,129,129,153.0
587729387147034695.fits,128,129,104.555555556
,92,144,220.111111111
587729387155554433.fits,129,129,176.111111111
587729387157520404.fits,129,128,179.555555556
587729387684429940.fits,128,129,211.0
587729387694522507.fits,128,129,166.111111111
587729388222218308.fits,128,128,200.444444444
587729388225953981.fits,129,128,160.555555556
587729388230934627.fits,129,128,149.777777778
587729408077791552.fits,129,128,145.555555556
587729408615317793.fits,129,128,133.111111111
,145,156,75.1111111111
587729409690370346.fits,129,128,161.111111111
587729652347896026.fits,129,128,167.111111111
,132,142,200.111111111
,116,145,87.5555555556
587729653962899841.fits,138,108,135.888888889
,128,128,170.555555556
587729653963030929.fits,108,125,121.111111111
,128,128,146.444444444
587729748448182892.fits,138,111,128.333333333
,128,128,131.444444444
587729751131619639.fits,129,128,136.444444444
587729751135813659.fits,129,128,162.888888889
587729751669145756.fits,129,129,129.444444444
587729751675372124.fits,128,127,131.777777778
587729752204640460.fits,128,129,190.555555556
587729752745640217.fits,129,128,155.444444444
587729773146472641.fits,128,129,152.777777778
,136,146,135.111111111
587729773680525466.fits,129,128,188.666666667
587729773680984272.fits,136,76,163.0
,143,108,95.0
,128,128,138.555555556
,116,148,124.444444444
587729773683540183.fits,128,129,149.666666667
587729774754726057.fits,128,129,167.111111111
587729776368550015.fits,129,128,170.222222222
587729776914858255.fits,128,128,174.111111111
587729777440784657.fits,161,122,141.777777778
,129,128,145.222222222
,147,154,112.555555556
587729777443340455.fits,129,129,139.222222222
587729777443799162.fits,109,66,70.7777777778
,113,119,115.555555556
,163,125,54.5555555556
,129,129,159.555555556
587729781200716327.fits,117,105,95.5555555556
,129,128,147.666666667
587729781200781725.fits,124,104,48.3333333333
,129,128,158.888888889
,161,134,45.0
587729971249873187.fits,128,127,152.888888889
587729971254198276.fits,128,128,202.111111111
,72,133,49.5555555556
,186,145,199.333333333
,122,152,126.666666667
587729972323483878.fits,129,128,157.444444444
587730021716197554.fits,129,128,130.555555556
587730022251298966.fits,129,128,158.0
587730022258245722.fits,126,102,86.3333333333
,163,102,66.0
,155,127,237.777777778
,129,128,199.222222222
,141,157,96.8888888889
587730022794330293.fits,89,95,96.1111111111
,128,128,200.444444444
,86,147,60.8888888889
587730022795837628.fits,128,128,152.333333333
587730022799114306.fits,129,128,138.888888889
,95,163,208.555555556
587730022801736142.fits,128,128,141.222222222
587730023331987591.fits,125,102,176.111111111
,129,128,176.0
587730023864270978.fits,129,129,152.111111111
587730023866302642.fits,129,129,121.0
587730023868924181.fits,128,129,178.555555556
587730773340520579.fits,128,129,195.0
,171,140,72.0
587730773341438323.fits,129,129,151.0
587730773349957862.fits,129,128,174.111111111
587730773352317074.fits,128,129,119.111111111
587730773353300108.fits,91,97,178.0
,154,111,60.2222222222
,128,127,204.777777778
,115,158,51.7777777778
,100,162,95.7777777778
587730773878505773.fits,129,129,184.111111111
587730773880471901.fits,128,129,163.0
587730773887942898.fits,153,160,101.555555556
587730774409347786.fits,128,128,136.666666667
,137,158,147.777777778
,117,167,90.0
587730774410788970.fits,129,128,138.777777778
,173,128,73.5555555556
,150,142,217.888888889
587730774412492938.fits,118,96,95.5555555556
,105,105,96.1111111111
,183,119,197.0
,77,128,88.2222222222
,76,129,88.2222222222
,128,129,193.666666667
,197,134,121.444444444
587730774421864504.fits,128,128,169.555555556
,160,150,190.333333333
,176,150,101.555555556
,109,164,101.888888889
587730774426648725.fits,128,128,157.888888889
587730774948446605.fits,128,129,183.111111111
587730774951395646.fits,129,128,173.777777778
587730774951985557.fits,128,128,174.0
587730774960242873.fits,128,129,164.555555556
587730774964961450.fits,129,129,124.888888889
587730775498883282.fits,129,128,177.111111111
587730816293339288.fits,128,128,198.222222222
587730816829358304.fits,129,129,138.777777778
587730817358758028.fits,129,128,191.777777778
587730817365901477.fits,159,107,56.8888888889
,129,129,168.777777778
587730817900740647.fits,128,129,136.222222222
587730818437808228.fits,129,129,124.666666667
,102,143,148.0
587730846350574517.fits,147,108,187.666666667
,129,128,190.333333333
587730847428968484.fits,128,129,156.111111111
,112,130,168.222222222
,161,177,249.888888889
587730848497336802.fits,129,129,122.222222222
587731173306467227.fits,128,128,190.111111111
,141,144,113.666666667
587731185660002444.fits,128,129,125.555555556
587731185667801245.fits,128,129,172.444444444
587731185669636133.fits,94,46,98.8888888889
,125,68,202.555555556
,79,113,172.0
,167,117,109.444444444
,129,128,203.222222222
,95,166,96.3333333333
587731185669636234.fits,129,129,130.222222222
587731185673306356.fits,129,129,151.0
587731186731057438.fits,128,129,170.222222222
587731186742394983.fits,128,129,204.111111111
587731187277430908.fits,126,95,171.222222222
,127,128,200.555555556
,80,134,63.3333333333
,163,148,51.2222222222
,114,186,54.3333333333
587731187279134981.fits,128,129,124.222222222
587731187280117820.fits,129,128,121.0
587731498651680901.fits,128,129,193.222222222
587731499186061467.fits,128,128,200.444444444
,176,141,83.5555555556
587731500260982914.fits,129,129,148.888888889
587731500261179513.fits,128,129,188.222222222
587731500263407750.fits,90,131,57.3333333333
587731500793135266.fits,106,101,83.7777777778
,128,129,166.555555556
587731500797722791.fits,128,129,177.666666667
587731500799754416.fits,129,129,161.666666667
587731501333610548.fits,128,129,218.222222222
587731501335642198.fits,129,129,124.0
587731511530881223.fits,129,128,134.888888889
587731512083611881.fits,129,128,134.111111111
,130,155,57.8888888889
587731512084004993.fits,129,128,152.666666667
,125,149,86.3333333333
587731512618582199.fits,128,128,148.666666667
587731513143066727.fits,128,129,151.666666667
587731513151193232.fits,128,128,181.888888889
587731513683869953.fits,128,127,129.555555556
587731520667386059.fits,129,128,198.555555556
,95,155,113.555555556
587731522272166235.fits,128,129,140.222222222
587731522285600858.fits,129,129,125.0
587731522815459462.fits,127,129,124.444444444
587731522822471800.fits,129,129,108.444444444
587731679047319713.fits,128,129,140.333333333
587731680112148802.fits,129,129,129.777777778
,134,144,145.666666667
587731680113852706.fits,129,128,162.888888889
587731680649740495.fits,128,129,166.666666667
587731680659767413.fits,128,129,152.333333333
587731868013887593.fits,128,129,145.444444444
587731868022800561.fits,129,128,168.111111111
,126,149,109.111111111
587731868023849126.fits,128,129,180.666666667
587731868560720022.fits,128,129,164.0
587731868561178759.fits,128,129,144.0
587731869092085971.fits,128,128,190.777777778
587731869093068978.fits,129,129,183.222222222
587731869094117578.fits,123,108,150.666666667
,129,129,115.777777778
587731869624500377.fits,129,128,128.666666667
587731870168711299.fits,129,129,179.888888889
587731870169956561.fits,129,129,164.222222222
587731870170218605.fits,128,129,141.333333333
587731870705647772.fits,129,129,109.444444444
587731872850313581.fits,128,128,125.666666667
587731872850379144.fits,128,129,149.888888889
587731873388167445.fits,128,129,126.444444444
587731873923662220.fits,129,129,181.444444444
,100,132,93.0
587731874459746570.fits,128,128,148.0
587731886814331088.fits,128,129,102.111111111
587731887350284565.fits,151,84,173.888888889
,125,105,59.3333333333
,154,113,61.5555555556
,128,129,127.777777778
587731889503076508.fits,129,128,178.555555556
587731890576621697.fits,128,129,173.666666667
587731890581078085.fits,129,129,214.666666667
587731891650494555.fits,128,128,120.666666667
587731891653705861.fits,128,128,169.888888889
587731892186513539.fits,129,129,193.555555556
587732048413392976.fits,128,128,135.0
587732050015355022.fits,128,129,114.777777778
587732050020532273.fits,128,129,127.444444444
,147,148,218.333333333
587732050557206625.fits,128,129,119.888888889
587732053780463862.fits,100,125,51.0
,128,129,188.444444444
587732053782691985.fits,128,129,121.111111111
587732054850797749.fits,129,129,183.333333333
587732054853026069.fits,128,129,152.0
587732054853288157.fits,128,129,146.666666667
587732054854598870.fits,128,129,177.888888889
587732134308085921.fits,128,129,133.666666667
587732134313722038.fits,129,129,141.0
587732134849282165.fits,129,129,186.777777778
587732135380910190.fits,128,128,189.777777778
587732135384252538.fits,128,129,118.222222222
,150,158,46.0
587732135916011683.fits,115,88,128.0
,128,129,153.666666667
587732135922696246.fits,129,129,159.333333333
587732136992440430.fits,128,128,166.0
587732136994996302.fits,128,129,190.777777778
587732153103089782.fits,128,129,158.888888889
587732153104793730.fits,128,129,132.0
,108,137,191.666666667
587732153106366590.fits,128,129,124.0
587732153641271413.fits,128,128,175.666666667
587732154176241785.fits,128,129,166.222222222
587732156314747278.fits,128,129,223.666666667
587732156851225096.fits,128,129,188.555555556
587732157391700226.fits,128,129,160.222222222
587732157926211997.fits,129,129,159.444444444
587732470382985656.fits,128,129,159.222222222
587732470386327690.fits,128,128,173.777777778
587732471456661713.fits,128,128,144.555555556
587732471462691049.fits,126,129,146.111111111
,126,150,56.3333333333
587732482197946494.fits,115,112,52.0
,168,118,116.222222222
,128,128,157.777777778
587732482204369001.fits,129,108,53.5555555556
,143,110,45.8888888889
,129,129,104.888888889
,104,149,38.8888888889
,140,150,53.8888888889
,117,167,32.0
,135,172,40.6666666667
587732482205220899.fits,128,129,166.888888889
587732482221342843.fits,128,128,146.888888889
587732482747859097.fits,129,129,176.0
587732483284926482.fits,128,128,184.444444444
,101,144,76.8888888889
,75,146,110.444444444
,180,150,42.6666666667
587732483300130856.fits,129,128,199.777777778
587732483806986474.fits,128,129,159.222222222
587732483820093568.fits,129,129,158.333333333
,150,150,155.777777778
587732484343922940.fits,127,128,120.222222222
587732484346937562.fits,128,129,124.777777778
587732484357095596.fits,128,128,136.888888889
587732484358602878.fits,128,128,173.888888889
587732484358733969.fits,129,129,194.555555556
587732484360372410.fits,129,128,142.0
587732484362600657.fits,129,129,151.777777778
587732484892524551.fits,128,129,179.888888889
587732484892786865.fits,129,129,177.0
587732484896522394.fits,129,128,168.777777778
587732484898029737.fits,129,128,164.222222222
587732484901896239.fits,129,128,139.444444444
587732577231044847.fits,128,129,155.333333333
587732577762672969.fits,129,129,121.222222222
587732577765621926.fits,128,129,140.333333333
587732577774534817.fits,129,128,192.111111111
587732578297643377.fits,128,128,129.555555556
587732578301116651.fits,129,128,177.777777778
587732578303541525.fits,128,129,146.111111111
587732578312257669.fits,130,129,131.555555556
587732578834448621.fits,157,116,112.0
,184,120,113.888888889
,128,128,183.333333333
,157,148,158.444444444
587732578842575102.fits,130,105,50.7777777778
,129,128,164.555555556
587732578849390733.fits,128,129,140.222222222
587732580979638433.fits,129,129,134.222222222
587732582053576876.fits,128,129,148.888888889
587732582053970105.fits,128,129,145.333333333
587732583125418310.fits,128,129,138.0
,125,147,110.333333333
587732583127056470.fits,128,129,160.111111111
587732583130136762.fits,128,129,148.777777778
,172,145,99.1111111111
587732583130202170.fits,108,121,206.888888889
,128,129,130.111111111
587732583665041503.fits,127,129,134.222222222
587732583667466413.fits,128,128,138.555555556
587732589567934580.fits,128,129,146.666666667
587732590105526466.fits,129,128,115.0
587732590642069708.fits,131,108,168.222222222
,128,129,181.777777778
587732590645870690.fits,129,129,139.777777778
587732591715287151.fits,128,128,119.111111111
587732591715811429.fits,128,129,129.666666667
587732591720267977.fits,129,128,147.444444444
587732591720792230.fits,128,129,162.666666667
587732592253272191.fits,129,129,106.333333333
587732701256351887.fits,129,128,145.111111111
587732701781426383.fits,128,129,153.444444444
587732702316462096.fits,127,129,135.444444444
587732702323605674.fits,129,128,174.222222222
587732702336123030.fits,128,128,144.333333333
587732702872600767.fits,153,110,102.777777778
,129,128,203.333333333
,163,152,69.6666666667
587732702872797413.fits,128,129,114.333333333
587732703396954221.fits,128,129,190.111111111
,104,154,112.444444444
587732703405867170.fits,128,129,206.888888889
587732703408881794.fits,129,129,133.222222222
587732703941492951.fits,153,108,79.6666666667
,129,128,123.222222222
587732769978384512.fits,128,129,119.333333333
587732769980350628.fits,129,129,134.0
587732769984807089.fits,129,128,123.333333333
587732769988018347.fits,129,128,128.555555556
587732770502082699.fits,128,128,126.666666667
587732770512306319.fits,128,129,134.222222222
587732770523316403.fits,129,129,114.222222222
,104,131,50.7777777778
587732771034431733.fits,251,34,103.444444444
,249,44,103.666666667
,248,57,103.666666667
,250,67,103.666666667
,11,90,204.555555556
,248,119,102.333333333
,128,128,166.777777778
,244,164,102.888888889
,243,182,100.0
,251,217,116.0
,108,234,195.555555556
,173,249,104.777777778
,142,251,88.1111111111
,145,251,88.1111111111
587732771047866470.fits,129,128,122.0
,102,135,55.6666666667
587732771047866525.fits,129,128,172.333333333
587732771049767123.fits,128,129,130.777777778
587732771061891224.fits,129,129,168.888888889
587732771569991971.fits,126,128,128.444444444
587732771571761304.fits,128,128,109.888888889
