Galaxy_name,Min_A_flux_180,detection
587733080272601183.fits,0.08048972893560732,False
587736584976007509.fits,0.099113497168613,False
587736751930081507.fits,0.11569231284205594,False
587736584439398745.fits,0.18836586163900212,False
588015509827682539.fits,0.07748109752708512,False
587736940369412114.fits,0.7335386460589397,False
587724649799811173.fits,0.5321622563810184,False
587731892188610684.fits,0.09528315321444958,False
587728309640888408.fits,0.15178554364237526,False
587731681190215890.fits,0.16007483088269547,False
587742575377580239.fits,0.08722534085153233,False
587739405705478227.fits,0.0982831999864441,False
587735429618139257.fits,0.13572485461615225,False
587735344253633293.fits,0.10633404173481954,False
587742627448881311.fits,0.13539793800760472,False
587725994111598910.fits,0.08001430044000284,False
588017702401933399.fits,0.05132962693079282,False
587733079742349373.fits,0.06426075454563403,False
587727179519688801.fits,0.12766566139395172,False
587736941987889181.fits,0.08592971875079071,False
587732135921909842.fits,0.06400921838990664,False
588017567631212695.fits,0.1170424843012296,False
587726014551621812.fits,0.2033639538693491,False
587728881418502273.fits,0.08530214206049222,False
587738618093305915.fits,0.0909543863811614,False
588011217523835017.fits,0.7076885957125232,False
587742774552100904.fits,0.11419968358198801,False
587739407316943000.fits,0.07012312072644017,False
587725552810393695.fits,0.3480697021532804,False
587742576451715174.fits,0.5891644258116747,False
587729971786613048.fits,0.08562795165292564,False
587742775637639279.fits,0.14399072068335095,False
588848899901948092.fits,0.11072005205827867,False
587727220876181657.fits,0.08247399090825884,False
588017948820242575.fits,0.08088480987280301,False
587728879259615518.fits,0.08857055495096218,False
587724198278791304.fits,0.07498929790775555,False
587742060542886000.fits,0.07436116257577835,False
587739406225047728.fits,0.09273956403235292,False
588015508217790552.fits,0.18522023149935052,False
587742062693384334.fits,0.06850329398968667,False
587733442124447976.fits,0.17416305672473298,False
587726033333059739.fits,0.11391021255676602,False
587739810491990211.fits,0.07060772336680815,False
587728670416961819.fits,0.10517103196229924,False
587724233711026281.fits,0.08525858694365801,False
587742775097557071.fits,0.09120688173630506,False
588016528245194839.fits,0.09647079403237374,False
588017949893918786.fits,0.2044415503833684,False
587726032803397884.fits,0.08844152279450702,False
587736940374786215.fits,0.15569684244008927,False
587725775070232589.fits,0.5752105593390338,True
587742014342037682.fits,0.0939044698573864,False
587731886809481367.fits,0.15772807754364548,False
588017603624566925.fits,0.08178096885055709,False
587741602573320392.fits,0.06272546275306037,False
587744637491741010.fits,0.1056133016077914,False
587742774019817506.fits,0.3104353750646965,False
588017109686354027.fits,0.14013463385994876,False
587739721907830899.fits,0.20997105876103964,False
587733399707779172.fits,0.12859085918424198,False
587735744221151273.fits,0.10209763579626592,False
587729385538191580.fits,0.11620488923296808,False
588013383812841586.fits,0.0820349225844669,False
587742190451556451.fits,0.08554821043979068,False
587742188830851164.fits,0.07611155101398262,False
587732483283615749.fits,0.17791206423801104,False
587731511540252844.fits,0.10764278045845477,False
587742062694039623.fits,0.15467657511661995,False
587742550145368257.fits,0.0835441461676648,False
587732135376257128.fits,0.07814109544691998,False
587732772132225090.fits,0.32302800105997703,False
588007004701261929.fits,0.18556003026157927,False
587731679042469986.fits,0.15907149063605275,False
587742551764042156.fits,0.11700412799589413,False
